2024-11-17 04:46:07 - System Idle Process (PID: 0) - CPU: 1109.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:47:07 - System Idle Process (PID: 0) - CPU: 1099.2%, MEM: 4.8108945593833975e-05%
2024-11-17 04:48:08 - System Idle Process (PID: 0) - CPU: 1100.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:49:08 - System Idle Process (PID: 0) - CPU: 1108.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:50:09 - System Idle Process (PID: 0) - CPU: 1095.9%, MEM: 4.8108945593833975e-05%
2024-11-17 04:51:09 - System Idle Process (PID: 0) - CPU: 1117.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:52:10 - System Idle Process (PID: 0) - CPU: 1108.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:53:10 - System Idle Process (PID: 0) - CPU: 1100.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:54:10 - System Idle Process (PID: 0) - CPU: 1099.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:55:11 - System Idle Process (PID: 0) - CPU: 1098.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:56:11 - System Idle Process (PID: 0) - CPU: 1118.2%, MEM: 4.8108945593833975e-05%
2024-11-17 04:57:12 - System Idle Process (PID: 0) - CPU: 1116.5%, MEM: 4.8108945593833975e-05%
2024-11-17 04:58:12 - System Idle Process (PID: 0) - CPU: 1117.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:59:13 - System Idle Process (PID: 0) - CPU: 1123.2%, MEM: 4.8108945593833975e-05%
2024-11-17 05:00:13 - System Idle Process (PID: 0) - CPU: 1110.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:01:14 - System Idle Process (PID: 0) - CPU: 1117.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:02:14 - System Idle Process (PID: 0) - CPU: 1106.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:03:15 - System Idle Process (PID: 0) - CPU: 1106.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:04:15 - System Idle Process (PID: 0) - CPU: 1100.3%, MEM: 4.8108945593833975e-05%
2024-11-17 05:05:16 - System Idle Process (PID: 0) - CPU: 1108.3%, MEM: 4.8108945593833975e-05%
2024-11-17 05:06:16 - System Idle Process (PID: 0) - CPU: 1122.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:07:16 - System Idle Process (PID: 0) - CPU: 1119.5%, MEM: 4.8108945593833975e-05%
2024-11-17 05:08:17 - System Idle Process (PID: 0) - CPU: 1118.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:09:17 - System Idle Process (PID: 0) - CPU: 1116.2%, MEM: 4.8108945593833975e-05%
2024-11-17 05:10:18 - System Idle Process (PID: 0) - CPU: 1122.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:11:18 - System Idle Process (PID: 0) - CPU: 1115.0%, MEM: 4.8108945593833975e-05%
2024-11-17 05:12:19 - System Idle Process (PID: 0) - CPU: 1113.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:13:19 - System Idle Process (PID: 0) - CPU: 1115.3%, MEM: 4.8108945593833975e-05%
2024-11-17 05:14:20 - System Idle Process (PID: 0) - CPU: 1115.2%, MEM: 4.8108945593833975e-05%
2024-11-17 05:15:20 - System Idle Process (PID: 0) - CPU: 1119.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:16:21 - System Idle Process (PID: 0) - CPU: 1115.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:17:21 - System Idle Process (PID: 0) - CPU: 1117.5%, MEM: 4.8108945593833975e-05%
2024-11-17 05:18:22 - System Idle Process (PID: 0) - CPU: 1118.7%, MEM: 4.8108945593833975e-05%
2024-11-17 05:19:22 - System Idle Process (PID: 0) - CPU: 1116.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:20:22 - System Idle Process (PID: 0) - CPU: 1121.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:21:23 - System Idle Process (PID: 0) - CPU: 1118.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:22:23 - System Idle Process (PID: 0) - CPU: 1110.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:23:24 - System Idle Process (PID: 0) - CPU: 1105.5%, MEM: 4.8108945593833975e-05%
2024-11-17 05:24:24 - System Idle Process (PID: 0) - CPU: 1104.7%, MEM: 4.8108945593833975e-05%
2024-11-17 05:25:25 - System Idle Process (PID: 0) - CPU: 1108.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:26:25 - System Idle Process (PID: 0) - CPU: 1102.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:27:26 - System Idle Process (PID: 0) - CPU: 1108.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:28:26 - System Idle Process (PID: 0) - CPU: 1111.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:29:27 - System Idle Process (PID: 0) - CPU: 1121.7%, MEM: 4.8108945593833975e-05%
2024-11-17 05:30:27 - System Idle Process (PID: 0) - CPU: 1105.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:31:27 - System Idle Process (PID: 0) - CPU: 1105.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:32:28 - System Idle Process (PID: 0) - CPU: 1101.0%, MEM: 4.8108945593833975e-05%
2024-11-17 05:33:28 - System Idle Process (PID: 0) - CPU: 1117.7%, MEM: 4.8108945593833975e-05%
2024-11-17 05:34:29 - System Idle Process (PID: 0) - CPU: 1091.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:34:29 - VRChat.exe (PID: 21632) - CPU: 84.7%, MEM: 34.88410915823537%
2024-11-17 05:35:29 - System Idle Process (PID: 0) - CPU: 1105.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:36:30 - System Idle Process (PID: 0) - CPU: 1107.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:37:30 - System Idle Process (PID: 0) - CPU: 1109.3%, MEM: 4.8108945593833975e-05%
2024-11-17 05:38:31 - System Idle Process (PID: 0) - CPU: 1104.5%, MEM: 4.8108945593833975e-05%
2024-11-17 05:39:31 - System Idle Process (PID: 0) - CPU: 1107.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:40:31 - System Idle Process (PID: 0) - CPU: 1098.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:41:32 - System Idle Process (PID: 0) - CPU: 1098.3%, MEM: 4.8108945593833975e-05%
2024-11-17 05:42:32 - System Idle Process (PID: 0) - CPU: 1109.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:43:33 - System Idle Process (PID: 0) - CPU: 1107.7%, MEM: 4.8108945593833975e-05%
2024-11-17 05:44:33 - System Idle Process (PID: 0) - CPU: 1103.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:45:34 - System Idle Process (PID: 0) - CPU: 1110.0%, MEM: 4.8108945593833975e-05%
2024-11-17 05:46:34 - System Idle Process (PID: 0) - CPU: 1111.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:47:35 - System Idle Process (PID: 0) - CPU: 1109.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:48:35 - System Idle Process (PID: 0) - CPU: 1106.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:49:36 - System Idle Process (PID: 0) - CPU: 1105.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:50:36 - System Idle Process (PID: 0) - CPU: 1099.1%, MEM: 4.8108945593833975e-05%
2024-11-17 05:51:37 - System Idle Process (PID: 0) - CPU: 1095.5%, MEM: 4.8108945593833975e-05%
2024-11-17 05:51:37 - VRChat.exe (PID: 21632) - CPU: 80.8%, MEM: 38.16025618975708%
2024-11-17 05:52:37 - System Idle Process (PID: 0) - CPU: 1106.2%, MEM: 4.8108945593833975e-05%
2024-11-17 05:53:37 - System Idle Process (PID: 0) - CPU: 1105.9%, MEM: 4.8108945593833975e-05%
2024-11-17 05:54:38 - System Idle Process (PID: 0) - CPU: 1103.2%, MEM: 4.8108945593833975e-05%
2024-11-17 05:55:38 - System Idle Process (PID: 0) - CPU: 1095.4%, MEM: 4.8108945593833975e-05%
2024-11-17 05:55:39 - VRChat.exe (PID: 21632) - CPU: 82.5%, MEM: 40.640368553010404%
2024-11-17 05:56:39 - System Idle Process (PID: 0) - CPU: 1109.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:57:39 - System Idle Process (PID: 0) - CPU: 1110.8%, MEM: 4.8108945593833975e-05%
2024-11-17 05:58:40 - System Idle Process (PID: 0) - CPU: 1108.6%, MEM: 4.8108945593833975e-05%
2024-11-17 05:59:40 - System Idle Process (PID: 0) - CPU: 1098.2%, MEM: 4.8108945593833975e-05%
2024-11-17 06:00:41 - System Idle Process (PID: 0) - CPU: 1095.9%, MEM: 4.8108945593833975e-05%
